Empl Type,Experience Level,Salary USD
3,1,138000
3,1,86000
3,0,179000
3,0,112000
3,1,92000
3,1,80000
3,2,90000
3,2,70000
3,2,127000
3,2,72600
3,0,70000
3,0,50000
3,0,83000
3,0,71000
3,2,198650
3,2,137000
3,2,160000
3,2,100000
3,0,92700
3,0,64900
3,1,166000
3,1,73000
3,1,81713
3,1,48067
3,1,179000
3,1,112000
3,2,111800
3,2,68195
3,2,132000
3,2,82500
3,1,140000
3,1,100000
3,1,85000
3,1,61800
3,1,129118
3,1,86078
3,2,140000
3,2,107000
3,1,97000
3,1,62000
3,1,237000
3,1,201450
3,3,219650
3,3,136000
3,1,87800
3,1,76300
3,2,97000
3,2,62000
3,2,253000
3,2,187000
3,2,250000
3,2,150000
3,1,184000
3,1,123000
3,2,245000
3,2,180000
3,2,184000
3,2,123000
3,2,317000
3,2,266000
3,2,229000
3,2,221000
3,1,120000
3,1,62100
3,2,210000
3,2,162000
3,2,198000
3,2,162000
3,2,300000
3,2,180000
3,1,68088
3,1,54552
3,2,324000
3,2,159000
3,1,99000
3,1,70000
3,2,220000
3,2,146000
3,1,105000
3,1,70000
3,1,110000
3,1,90000
3,1,60000
3,1,55000
3,0,116013
3,0,92810
3,2,200000
3,2,150000
3,2,221000
3,2,138000
3,1,146100
3,1,86500
3,2,159300
3,2,96600
3,2,209300
3,2,118300
3,2,170000
3,2,130000
3,2,140000
3,2,97200
3,1,179000
3,1,112000
3,2,140000
3,2,120000
3,1,308000
3,1,193000
3,2,240000
3,2,180000
3,2,126480
3,2,82620
3,2,324000
3,2,159000
3,1,140025
3,1,102300
3,2,150000
3,1,224000
3,1,146000
3,2,150000
3,2,112500
3,1,81500
3,1,75000
3,2,106875
3,2,71250
3,1,245000
3,1,135000
3,2,144138
3,2,104828
3,2,161000
3,2,133200
3,1,161875
3,1,97125
3,2,196350
3,2,127500
3,1,135450
3,1,72870
3,2,237200
3,2,172500
3,2,184800
3,2,161900
3,2,146800
3,2,117400
3,0,90000
3,0,60000
3,2,227200
3,2,199100
3,1,310000
3,1,245000
3,2,125000
3,1,223000
3,1,171600
3,2,192500
3,2,122500
3,2,162900
3,2,117725
3,0,140000
3,0,100000
3,1,170000
3,1,105000
3,2,139000
3,2,234200
3,2,124000
3,1,153700
3,1,87300
3,2,282000
3,2,208000
3,2,77777
3,2,66666
3,1,162000
3,1,129000
3,2,138000
3,2,86000
3,1,100000
3,1,94444
3,0,110000
3,0,90000
3,2,255800
3,2,176000
3,0,120000
3,0,105000
3,2,130943
3,2,104220
3,0,50000
3,0,43750
3,1,210000
3,1,140000
3,1,46250
3,1,30000
3,2,165000
3,2,130000
3,0,156000
3,0,124000
3,2,189000
3,2,140000
3,2,158494
3,2,88052
3,2,175000
3,1,111000
3,1,79200
3,2,220000
3,2,170000
3,2,195500
3,2,141300
3,2,139810
3,2,95325
3,2,258700
3,2,146600
3,1,190000
3,1,160000
3,0,90000
3,0,65000
3,1,160000
3,1,130000
3,1,85000
3,1,65000
3,2,143800
3,2,95800
3,1,166000
3,1,73100
3,1,114000
3,1,72000
3,1,102500
3,2,258700
3,2,160000
3,2,203649
3,2,183284
3,1,60462
3,0,33220
3,1,81800
3,1,70800
3,2,130000
3,2,80850
3,2,215000
3,2,146900
3,2,242000
3,2,106200
3,1,165000
3,1,135000
3,0,75065
3,0,41419
3,2,145000
3,2,120000
3,2,184000
3,2,112000
3,2,275000
3,2,170000
3,0,100000
3,0,70000
3,1,55368
3,1,30760
3,1,135700
3,1,108560
3,2,300000
3,2,180000
3,2,189000
3,2,118100
3,2,148300
3,2,84700
3,0,40581
3,0,38629
3,2,275000
3,2,121200
3,1,149925
3,1,91260
3,2,86128
3,2,74562
3,2,277000
3,2,173000
3,2,242000
3,2,106200
3,1,68902
3,1,49216
3,2,250900
3,2,135200
3,2,187415
3,2,114080
3,1,220000
3,1,137500
3,1,119000
3,1,52100
3,2,120000
3,2,102000
3,0,64000
3,0,60000
3,1,179000
3,1,112000
3,0,65000
3,0,54000
3,1,119000
3,1,52100
3,1,152000
3,1,99000
3,3,110736
3,3,92280
3,2,250000
3,2,140000
3,0,113800
3,0,63200
3,2,210000
3,2,160000
3,1,170000
3,2,247600
3,2,127300
3,1,125000
3,1,100000
3,2,140000
3,2,247300
3,2,139700
3,2,192000
3,2,138240
3,2,170000
3,2,130000
3,2,100000
3,2,90000
3,2,170000
3,1,186000
3,1,81800
3,2,180514
3,2,108308
3,2,166000
3,2,73100
3,1,115950
3,1,69570
3,2,142300
3,2,71200
3,1,179000
3,1,106500
3,2,119200
3,2,86600
3,2,140544
3,2,82673
3,2,108350
3,2,78800
3,2,162540
3,2,87570
3,2,213600
3,2,103200
3,1,140000
3,1,90000
3,1,212000
3,1,93300
3,1,222200
3,1,136000
3,1,157000
3,1,144000
3,2,210000
3,2,160000
3,2,179000
3,2,112000
3,2,221300
3,2,147500
3,2,179000
3,2,112000
3,2,116000
3,2,90000
3,1,130400
3,1,74500
3,2,207700
3,2,133700
3,2,120000
3,2,100000
3,2,247500
3,2,172200
3,1,140000
3,1,90000
3,2,260000
3,2,230000
3,2,130000
3,2,110000
3,1,110000
3,1,90000
3,1,310000
3,1,245000
3,1,210000
3,1,160000
3,1,85000
3,1,75000
3,2,280000
3,2,196000
3,1,212000
3,1,93300
3,2,230000
3,2,115000
3,1,75000
3,1,70000
3,2,233500
3,2,137500
3,1,166000
3,1,73100
3,2,176875
3,2,84750
3,2,251250
3,2,120750
3,1,106050
3,1,80420
3,1,120000
3,1,147400
3,1,107682
3,2,145000
3,2,95000
